soil_moisture,last_watered,plant_type,needs_water
21,8,2,1
26,13,0,0
57,25,1,0
23,47,0,1
14,42,0,1
35,34,2,1
54,5,0,0
13,6,0,1
25,1,2,1
73,30,1,0
50,5,0,0
14,23,2,1
67,12,2,0
64,40,2,1
18,34,1,1
45,39,1,1
46,19,0,0
14,15,0,1
39,37,2,1
64,30,1,0
13,37,0,1
31,27,1,1
26,34,1,1
26,18,2,1
23,24,1,1
43,31,2,1
43,29,1,0
63,45,1,1
41,13,2,0
25,25,1,1
75,38,1,1
26,35,1,1
76,10,2,0
74,42,1,1
15,44,1,1
24,19,0,0
38,40,2,1
49,1,1,0
61,8,1,0
23,36,0,0
79,48,1,1
63,48,2,1
72,34,0,0
43,48,1,1
55,15,2,0
69,36,1,0
49,22,1,0
35,12,1,1
23,37,2,1
57,24,2,0
40,41,2,1
20,16,0,0
25,17,0,0
51,39,0,0
28,21,1,1
45,0,0,0
38,43,2,1
22,4,0,0
36,16,1,1
59,39,0,0
17,16,0,1
79,38,0,0
12,10,2,1
54,44,2,1
43,11,1,0
79,3,0,0
77,10,2,0
57,4,2,0
42,6,1,0
27,41,0,1
27,16,1,1
21,40,1,1
15,44,2,1
30,1,2,1
15,32,1,1
55,26,2,0
37,20,2,0
42,42,1,1
18,16,1,1
35,35,0,0
27,5,2,1
10,48,0,1
24,33,1,1
79,42,0,1
57,27,1,0
27,48,0,1
43,4,0,0
48,3,0,0
61,32,2,1
61,34,2,1
28,21,1,1
20,42,1,1
24,9,0,0
62,27,0,0
36,42,2,1
42,38,1,1
70,17,2,0
10,21,1,1
38,12,2,0
33,28,2,1
